A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Brix
254.1,150.19,531.74,259.5,532.34,1067.04,121.58,219.4,342.04,101.53,241.79,109.3,2702.79,674.85,205.83,128.14,370.97,717.29,3.9
550.57,152.65,588.76,227.09,495.65,1388.66,247.2,393.25,435.06,122.26,266.41,120.41,2644.18,713.36,203.63,136.48,391.87,716.63,3.9
161.36,87.88,209.03,108.94,249.48,728.75,78.18,150.44,366.96,106.47,216.13,103.74,1919.23,686.28,176.58,116.86,290.54,669.67,4
275.74,116.48,381.04,134.11,409.04,1219.73,87.01,148.8,337.99,105.5,241.56,111.89,2586.25,808.62,272.66,144.81,344.69,748.83,4
314.74,125,284.38,149.75,294.95,515.4,86.9,166.35,333.58,96.11,225.15,106.89,2320.55,702.33,202.05,120.46,307.64,662.61,4
207.58,89.59,161.73,104.49,195.67,394.5,101.58,184.82,350.13,108.41,278.55,127.64,2531.09,713.56,220.77,139.42,379.36,781.24,4.1
257.78,118.37,358.04,138.23,331.49,900.88,90.95,147.26,350.13,106.87,213.71,100.04,2275.73,741.03,220.14,132.39,322.84,720.16,4.1
287.11,111.18,265.31,119.8,249.19,583.42,98.92,177.54,339.34,103.72,260.05,120.41,2146.55,678.66,200.17,121.77,297.35,671.43,4.2
280.81,170.46,587.08,240.25,535.51,1159.9,227.63,334.65,312.35,96.43,231.04,109.3,2352.04,482.52,179.73,113.43,330.28,627.77,4.5
231.99,199.81,755.73,344.74,735.78,1387.41,181.25,289.6,326.83,99.34,268.38,124.86,3029.17,665.23,222.65,138.6,412.46,757.2,5
